TEP(¦Ìl),MACl(%),NMP(¦Ìl),2-Me£¨¦Ìl£©,A,B,C
580,20,40,25,1,1,1
620,15,75,45,1,1,1
640,20,30,30,1,1,1
540,35,35,0,1,1,0
650,40,75,15,1,1,0
530,30,30,30,1,1,1
570,30,30,25,1,1,1
540,10,40,20,1,1,1
610,15,30,35,1,1,1
560,20,60,40,1,1,1
550,20,30,50,1,1,1
550,30,80,50,1,1,1
610,15,10,35,1,0,0
510,10,40,20,0,1,0
500,20,60,40,0,1,0
550,20,15,50,1,0,0
590,40,50,25,1,1,0
620,25,80,5,1,1,1
580,10,65,10,1,1,1
630,25,55,45,1,1,1
580,35,75,5,1,1,0
550,35,45,5,1,1,0
560,35,70,0,1,1,0
620,30,60,0,1,1,1
580,25,35,0,1,1,1
